EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
911449,MARICOPA CO.,LIBERTY,08/29/2020,1945,Flash Flood,,,0,0,40000,0,AZ,MST-7,,150888,C,13,PSR,0,0,Fire Department/Rescue,Heavy Rain,,,7,SSE,8,SSE,BUCKEYE,08/29/2020,2300,33.2804,-112.4517,33.2719,-112.5243,"Thunderstorms with heavy rain developed across western portions of the greater Phoenix area during the evening hours on August 29; some of the stronger storms affected the areas around the community of Buckeye. According to the Buckeye Valley fire department and rescue units, at 2003MST deputies responded to a SUV with a family of five that was stuck in a flooded wash in the Buckeye Valley. The SUV was stuck near the intersection of Tuthill and Carla Vista Roads. Fortunately, the family was removed by bystanders. A Flash Flood Watch was in effect at the time of the rescue.","The monsoon high broke down over Arizona late in August with a trough setting up over the southwest U.S. leading to southwest flow over the state. Tropical moisture was able to push up the Gulf of California into Arizona under this setup. This prompted a Flash Flood Watch for the central and southern Arizona deserts for the 29th and 30th. With well above normal moisture levels, training of storms and high rain rates were able to produce flash flooding in the afternoon and evening hours of both days. The highest rainfall totals were in southeast reaches of the Phoenix metro area on the 29th with a cluster of storms and in northwest Maricopa county on the 30th with a nearly stationary line of storms. A few storms on both days also produced damaging winds.",11
919643,PINAL CO.,CAMP BONITO,08/29/2020,1835,Flash Flood,,,0,0,0,0,AZ,MST-7,,152659,C,21,TWC,0,0,River/Stream Gage,Heavy Rain / Burn Area,,,4,SSW,10,SW,ORACLE,08/29/2020,2015,32.5146,-110.736,32.5115,-110.8736,An inch of rain fell in less than an hour over the headwaters of the Canada Del Oro Wash within the Bighorn Fire burn scar on the Santa Catalina Mountains. An 8 foot rise was noted downstream at Rancho Solano and strong flows continued downstream into Pima County.,Scattered thunderstorms developed and moved northeast across southeast Arizona during the afternoon and evening. One storm produced wind damage at Marana High School and another produced flash flooding over the Bighorn Fire burn scar.,12
918471,YAVAPAI CO.,PRESCOTT,08/23/2020,1343,Flash Flood,,,0,0,0,0,AZ,MST-7,,152488,C,25,FGZ,0,0,Official NWS Observations,Heavy Rain,,,0,N,1,SSE,PRESCOTT,08/23/2020,1443,34.55,-112.47,34.542,-112.4637,Heavy rain from a thunderstorm caused Granite Creek to rise 2.9 feet in an hour at the Granite Creek Gauge (GCRA3).,A thunderstorm over the Prescott area produced flash flooding in Granite Creek.,13
910149,MARICOPA CO.,TORTILLA FLAT,08/22/2020,2100,Flash Flood,,,2,3,10000,0,AZ,MST-7,,150855,C,13,PSR,0,0,Law Enforcement,Heavy Rain / Burn Area,,,6,NE,6,NE,TORTILLA FLAT,08/22/2020,2100,33.5983,-111.3237,33.5984,-111.3226,"A strong thunderstorm produced heavy rain over southern portions of the Bush Fire burn scar during the evening of the 22nd. Heavy rainfall associated with the thunderstorm led to an estimated 1-2 of rain within 20-30 minutes over the headwaters of the Alder Creek basin, resulting in a flash flood with debris coming down Alder Creek. A group of people camping at the foot of Alder Creek on the north shore of Apache Lake attempted to flee the area by boat as the flash flood approached. The flash flood with debris caused an inoperable boat carrying five adults to capsize. Three out of the five adults were rescued out of the water by another boat. The other two adults, a 41 year old female and a 52 year old male, died as a result of drowning and were recovered by Maricopa County Sheriff's Office. Collaboration between the National Weather Service, Arizona Geological Survey, and Maricopa County Flood Control District determined that this event was not a debris flow.","A severe warned thunderstorm pushed west from southern Gila county into eastern Maricopa county in the late evening, after sunset. The storm produced very heavy rainfall over the southern end of the 2020 Bush fire burn scar in the Four Peaks Wilderness area. The rain led to flash flooding of Alder creek, which empties into Apache lake. The flash flood consisted of a lot of large debris and ash that led to a fatal boating accident on Apache Lake.",14
911440,MARICOPA CO.,MOBILE,08/20/2020,2200,Flash Flood,,,0,0,0,0,AZ,MST-7,,150854,C,13,PSR,0,0,Department of Highways,Heavy Rain,,,5,E,1,SE,MOBILE,08/21/2020,200,33.0564,-112.1799,33.04,-112.2533,"Thunderstorms, some with heavy rain, moved off the higher terrain and into the greater Phoenix area during the evening hours on August 20th. Stronger storms generated locally heavy rain with peak rain rates exceeding 1 inch per hour, which resulted in some flash flooding south of Phoenix. According to the Arizona Department of Highways, flash flooding that developed during the late evening led to the closure of State Route 238 east of Mobile shortly after midnight on August 21st. The highway was closed near 67th Avenue due to flooding at 0018MST. It should be noted that Highway 238 often floods during monsoon thunderstorm events, even with rainfall totals that are not especially heavy.","Thunderstorms moved from higher terrain north and southeast of the Phoenix metro area toward the lower deserts along multiple outflow boundaries. Multiple severe thunderstorm warnings were issued as storms were producing 50-60 mph winds. Stronger storms produced episodes of wind damage, impacting the greater Phoenix area from Deer Valley southeast through Tempe and into Queen Creek. Heavy rain also fell with the storms, which led to minor flooding impacts in many areas and localized flash flooding.",15
919562,PIMA CO.,DREXEL HGTS,08/20/2020,1930,Flash Flood,,,0,0,0,0,AZ,MST-7,,152655,C,19,TWC,0,0,Social Media,Heavy Rain,,,4,SW,4,SW,DREXEL HGTS,08/20/2020,2100,32.1421,-111.0604,32.1341,-111.0604,Heavy rain of 1 to 2 inches caused the closure of several streets in SW Tucson between Drexel and Valencia Roads due to flash flooding.,A moisture surge from remnants of Hurricane Genevieve near lower Baja helped fuel thunderstorms that moved west and produced damaging winds and flash flooding in parts of Santa Cruz and eastern Pima counties.,16
911551,MOHAVE CO.,CONE SPGS,08/18/2020,1800,Flash Flood,,,0,0,2000,0,AZ,MST-7,,151199,C,15,VEF,0,0,County Official,Heavy Rain,,,3,SSE,2,SSE,CONE SPGS,08/18/2020,2100,34.8492,-113.6262,34.8494,-113.6348,Huffriter Crossing and Pump Station Road were closed due to flooding.,"A little monsoon moisture crept in under the big ridge aloft responsible for the ongoing heat wave, triggering a few thunderstorms over Mohave County. Isolated severe wind and flash flooding occurred.",17
919553,PIMA CO.,ORO VLY,08/16/2020,1745,Flash Flood,,,0,0,0,0,AZ,MST-7,,152651,C,19,TWC,0,0,NWS Employee,Heavy Rain,,,6,NE,6,NE,ORO VLY,08/16/2020,1815,32.4768,-110.9139,32.4759,-110.9119,Thunderstorms produced between 1 and 1.5 inches of rain in 60 to 90 minutes.  Wilds Rd. in Catalina had over 8 inches of flood waters flowing across it near Twin Lakes Rd.,"Scattered thunderstorms developed and moved west-southwest across southeast Arizona during the late afternoon and early evening. Storms produced wind damage in the northwest Tucson Metro, Sells and Huachuca City. The winds also led to the development of a dust storm in Pinal County.",18
919429,SANTA CRUZ CO.,ELGIN,08/02/2020,1945,Flash Flood,,,0,0,0,0,AZ,MST-7,,152625,C,23,TWC,0,0,Trained Spotter,Heavy Rain,,,3,WNW,2,ESE,ELGIN,08/02/2020,2030,31.69,-110.56,31.6601,-110.4951,Around 1.5 of rain fell in less than an hour in the Elgin area causing 8 to 12 inches of water to flow across Elgin Road.,Scattered thunderstorms developed over Santa Cruz and southwest Cochise County during the afternoon and moved southwest through the evening. Storms produced heavy rain and large hail in the Elgin/Sonoita area and one storm uprooted trees at Tubac Presidio State Historic Park.,19
899696,APACHE CO.,CORNFIELD,07/27/2020,1900,Flash Flood,,,0,0,0,0,AZ,MST-7,,149264,C,1,FGZ,0,0,Fire Department/Rescue,Heavy Rain,,,7,N,2,W,SUNRISE SPGS,07/27/2020,1930,35.7502,-109.6714,35.6039,-109.7876,Flooding was reported along Indian Route 15 between Sunrise Springs and Burnside. Water and mud covered the road between 5 and 10 inches deep. Time and location are best estimates.,Deep monsoon moisture and unstable air moved over northern Arizona.  This triggered thunderstorms with heavy rain.,20
899698,GILA CO.,CARRIZO,07/27/2020,1557,Flash Flood,,,0,0,0,0,AZ,MST-7,,149264,C,7,FGZ,0,0,Other Federal Agency,Heavy Rain,,,8,NE,1,ENE,CARRIZO,07/27/2020,1657,34.0582,-110.1846,33.9843,-110.2569,A stream gauge on Carrizo Creek reported a 2.4 foot rise in water.,Deep monsoon moisture and unstable air moved over northern Arizona.  This triggered thunderstorms with heavy rain.,21
904685,MARICOPA CO.,COTTON CENTER,07/23/2020,1500,Flash Flood,,,0,0,0,0,AZ,MST-7,,150038,C,13,PSR,0,0,Mesonet,Heavy Rain,,,5,NNW,4,S,ARLINGTON,07/23/2020,1900,33.1414,-112.7165,33.256,-112.7544,"Thunderstorms with heavy rain developed to the southwest of Phoenix during the afternoon hours on July 23rd, resulting in an episode of flash flooding approximately 15 miles to the southwest of the town of Buckeye. Flash flooding resulted in the closure of old US 80 at Rainbow Wash at about 1515MST. The wash quickly rose over 3.5 feet. The timing of the flooding was based on stream gage data from the Maricopa County Flood Control network. Flash flooding was observed on video by a trained weather spotter; he could see the flood waters moving through the wash and approaching highway 80. There were no reports of accidents or injury due to the flash flooding.","Thunderstorms developed over the deserts to the west of Phoenix during the afternoon hours on July 23rd and some of the stronger storms generated locally heavy rainfall. The heavy rain was sufficient to lead to an episode of flash flooding to the southwest of Phoenix, between Gila Bend and Buckeye, just to the west of Highway 85. The flash flooding resulted in the closure of old Highway 80 about 15 miles southwest of Buckeye. The highway was closed by Rainbow Wash and the flooding was captured on video by a trained spotter. There were no reports of accidents or injury due to the flash flooding.",22
913355,PIMA CO.,CASAS ADOBES,07/23/2020,1030,Flash Flood,,,0,0,0,0,AZ,MST-7,,151543,C,19,TWC,0,0,County Official,Heavy Rain,,,4,NE,3,SE,CASAS ADOBES,07/23/2020,1300,32.3501,-110.9299,32.2803,-110.9434,"Around an inch of rain in 30 minutes fell during the early morning hours near the headwaters of Pima Wash and Ventana Canyon Wash, within the Bighorn Fire burn scar area. Additional heavy rain of 0.75 to 1.5 fell in the urbanized area downstream of the burn area later that morning which caused combined runoff sufficient to cause a 2 foot sooty flow in Ventana Canyon Wash at Sunrise Drive and the closure of Snyder Road.","Scattered thunderstorms developed and moved west across southeast Arizona from the predawn hours through early afternoon.  Some storms produced heavy rain and flash flooding in and around the Tucson Metro area, including the Bighorn Fire burn scar area. Several swift water rescues were performed. One man drowned after a rapid rise in the normally dry Santa Cruz River.",23
913704,PIMA CO.,TUSCON MARANA NW AIRPORT,07/23/2020,1030,Flash Flood,,,0,0,0,0,AZ,MST-7,,151543,C,19,TWC,0,0,Local Official,Heavy Rain,,,4,S,1,SE,MARANA,07/23/2020,1130,32.3555,-111.2102,32.4404,-111.2115,Pockets of heavy rain on the order of 1 inch in just over an hour caused isolated areas of flash flooding in parts of Picture Rocks and Marana.  Road closures due to flooding were noted on Emigh Rd. near Sandario and Sanders.,"Scattered thunderstorms developed and moved west across southeast Arizona from the predawn hours through early afternoon.  Some storms produced heavy rain and flash flooding in and around the Tucson Metro area, including the Bighorn Fire burn scar area. Several swift water rescues were performed. One man drowned after a rapid rise in the normally dry Santa Cruz River.",24
913288,PIMA CO.,TUCSON,07/23/2020,1000,Flash Flood,,,0,0,2000,0,AZ,MST-7,,151543,C,19,TWC,0,0,Fire Department/Rescue,Heavy Rain,,,3,ENE,3,NNE,TUCSON,07/23/2020,1100,32.2476,-110.8753,32.272,-110.9178,Thunderstorms produced heavy rain of 1 to 2 inches in one hour in northern Tucson and the Catalina Foothills. At Glenn and Craycroft Rd. flood waters were 2 feet deep causing stalled vehicles. Alamo Wash experienced a nearly 3 foot rise near Glenn St. and the Rillito at Dodge rose 2 feet.,"Scattered thunderstorms developed and moved west across southeast Arizona from the predawn hours through early afternoon.  Some storms produced heavy rain and flash flooding in and around the Tucson Metro area, including the Bighorn Fire burn scar area. Several swift water rescues were performed. One man drowned after a rapid rise in the normally dry Santa Cruz River.",25
913363,PIMA CO.,TUCSON,07/23/2020,1000,Flash Flood,,,1,0,50000,0,AZ,MST-7,,151543,C,19,TWC,0,0,Fire Department/Rescue,Heavy Rain,,,4,N,2,SSE,CORTARO,07/23/2020,1300,32.2838,-110.9218,32.322,-111.0647,"Flash flooding occurred across a large part of central and southwest Tucson.  Around 2 inches of rain fell in 60-90 minutes from the Catalina Foothills near Alvernon Way west through Flowing Wells and south to Tucson Estates, Drexel Heights and the Pascua Pueblo. Rain totals of at least 3 to 4 inches in southwest Tucson caused numerous road closures, including San Xavier Rd near the Mission.  Interstate 10 at Sunset Road was also closed briefly. Multiple vehicles became stranded in flood waters and several swift water rescues occurred in midtown. Vehicle rescues were noted on Fort Lowell Rd. at Tuscon Blvd and Stone Ave. and also near Glenn and Fairview.  A man was also rescued from the Rillito River near the Tucson Mall.  Farther south and west, a truck became stuck in Camino De Oeste Wash at Lloyd Bush Dr.  A two to three foot wall of water progressed down the normally dry Santa Cruz River.  The Pima County Medical Examiner determined that the cause of death was drowning for a man pulled from the Santa Cruz River near Speedway.","Scattered thunderstorms developed and moved west across southeast Arizona from the predawn hours through early afternoon.  Some storms produced heavy rain and flash flooding in and around the Tucson Metro area, including the Bighorn Fire burn scar area. Several swift water rescues were performed. One man drowned after a rapid rise in the normally dry Santa Cruz River.",26
912868,COCHISE CO.,CHARLESTON,07/02/2020,1630,Flash Flood,,,0,0,1000,0,AZ,MST-7,,151482,C,3,TWC,0,0,Law Enforcement,Heavy Rain,,,9,ESE,5,SSE,CHARLESTON,07/02/2020,1800,31.5626,-110.0352,31.5615,-110.1371,Radar rainfall estimates of over 1 inch in the northwest Mule Mountains caused streams flowing west toward the San Pedro River to rise markedly. A vehicle became stuck in nearly two feet of water flowing across High Knoll Road.,"Isolated to scattered thunderstorms developed and moved north across southeast Arizona, primarily south of Interstate 10.  One storm caused flash flooding in southern Cochise County and another produced severe wind gusts in the Empire Mountains.",27
892297,MOHAVE CO.,WILLOW BEACH,05/10/2020,1600,Flash Flood,,,0,0,50000,0,AZ,MST-7,,148184,C,15,VEF,0,0,Park/Forest Service,Heavy Rain,,,4,E,1,S,WILLOW BEACH,05/10/2020,1800,35.8611,-114.6037,35.859,-114.6692,Willow Beach Access Road was closed 1600 MST due to severe damage from flash flooding. One car was stuck in the debris.,Scattered thunderstorms developed over the Mojave Desert in response to leftover heat plus a shortwave trough passing by. One storm produced flash flooding.,28
878070,MOHAVE CO.,BULLHEAD CITY,04/12/2020,1749,Flash Flood,,,0,0,1000,0,AZ,MST-7,,146137,C,15,VEF,0,0,Department of Highways,Heavy Rain,,,0,SSE,0,SSE,BULLHEAD CITY,04/12/2020,1900,35.1468,-114.5689,35.1468,-114.5683,AZ Highway 95 was closed near 3rd Street due to flooding.,"A cold front moving through the Mojave Desert helped lift an unstable air mass, producing scattered thunderstorms. Isolated flash flooding occurred.",29
877307,GILA CO.,(0E4)PAYSON ARPT,03/19/2020,150,Flash Flood,,,0,0,0,0,AZ,MST-7,,146013,C,7,FGZ,0,0,Public,Heavy Rain,,,2,WNW,4,NW,(0E4)PAYSON ARPT,03/20/2020,150,34.264,-111.3897,34.2821,-111.406,The East Verde River rose 4 feet in East Verde Estates.,A winter storm brought heavy rain and snow to northern Arizona.,30
873892,MARICOPA CO.,PALO VERDE,03/13/2020,1530,Flash Flood,,,0,0,30000,0,AZ,MST-7,,145315,C,13,PSR,0,0,Broadcast Media,Heavy Rain,,,1,WSW,1,WSW,DIXIE,03/13/2020,2100,33.3454,-112.6894,33.3472,-112.7816,"Scattered showers and thunderstorms, some with heavy rain, occurred during the afternoon hours across the deserts to the west of Phoenix on March 13th. The heavy rain caused washes, streams and rivers to flow very heavily, posing significant danger to motorists. According to local broadcast media, at 1930MST a motorist became trapped in his vehicle at Baseline Road and 319th Avenue due to the Hassayampa River flowing swiftly across the road. The Hassayampa was swollen and flowing heavily due to the earlier heavy rain in the area. About 20 minutes later, a water rescue was needed for the motorist; the rescue occurred to the west of the town of Buckeye. There were no reports of injuries to either the motorists or the rescuers. There was no flash flood warning in effect at the time of the water rescue.","A weakening but still potent upper level low pressure system continued to push east across Arizona during the day on March 13th, and the atmosphere across the central deserts was still very humid and a bit unstable. As the system moved across the greater Phoenix area, scattered afternoon thunderstorms developed over the greater Phoenix area. Some of the thunderstorms generated very heavy rains; a trained spotter near the town of Surprise measured 0.7 inches of rain within a 10 minute period. The heavy rain resulted in episodes of street flooding as well as flash flooding. At about 1700MST flash flooding on Cave Creek near 7th Avenue and Greenway Road. Water 6 inches deep was flowing across 7th Avenue as reported by the public. Heavy rain 3 miles south of Deer Valley caused flash flooding at the Interstate 17 and Greenway underpass to flood. Water 1 to 2 feet deep filled up the underpass resulting in at least one stalled car. A Flash Flood Warning was issued and in effect at the time of the underpass flooding. There were no reports of injuries due to the flooding.",31
